"sample_date","location_id","lat","lon","target_name","ct_value"
2017-06-11,1,23.8,90.37,"target_0",NA
2017-06-11,1,23.8,90.37,"target_0",NA
2017-06-11,1,23.8,90.37,"target_0",NA
2017-06-11,1,23.8,90.37,"target_0",29.9567007947622
2017-06-11,1,23.8,90.37,"target_1",31.6011098808521
2017-06-11,1,23.8,90.37,"target_1",32.2020796192556
2017-06-11,1,23.8,90.37,"target_2",33.4228553238149
2017-06-11,1,23.8,90.37,"target_2",33.9492828986404
2017-06-11,1,23.8,90.37,"target_3",32.8897048974333
2017-06-11,1,23.8,90.37,"target_3",33.5025263640211
2017-06-11,2,23.8,90.38,"target_0",29.6852198701482
2017-06-11,2,23.8,90.38,"target_0",NA
2017-06-11,2,23.8,90.38,"target_0",NA
2017-06-11,2,23.8,90.38,"target_0",28.8634599874582
2017-06-11,2,23.8,90.38,"target_1",28.9100888086061
2017-06-11,2,23.8,90.38,"target_1",NA
2017-06-11,2,23.8,90.38,"target_2",31.5775577574057
2017-06-11,2,23.8,90.38,"target_2",NA
2017-06-11,2,23.8,90.38,"target_3",30.613737370141
2017-06-11,2,23.8,90.38,"target_3",29.7275234569729
2017-06-11,3,23.81,90.37,"target_0",NA
2017-06-11,3,23.81,90.37,"target_0",NA
2017-06-11,3,23.81,90.37,"target_0",NA
2017-06-11,3,23.81,90.37,"target_0",29.2748840180184
2017-06-11,3,23.81,90.37,"target_1",28.0527260045634
2017-06-11,3,23.81,90.37,"target_1",NA
2017-06-11,3,23.81,90.37,"target_2",32.0818549089104
2017-06-11,3,23.81,90.37,"target_2",31.0532776083582
2017-06-11,3,23.81,90.37,"target_3",30.863732567907
2017-06-11,3,23.81,90.37,"target_3",NA
2017-06-13,1,23.8,90.37,"target_0",NA
2017-06-13,1,23.8,90.37,"target_0",NA
2017-06-13,1,23.8,90.37,"target_1",NA
2017-06-13,1,23.8,90.37,"target_2",32.5200354931684
2017-06-13,1,23.8,90.37,"target_3",NA
2017-06-13,2,23.8,90.38,"target_0",29.4319525936852
2017-06-13,2,23.8,90.38,"target_0",30.1224002454251
2017-06-13,2,23.8,90.38,"target_0",NA
2017-06-13,2,23.8,90.38,"target_0",29.0105623768802
